"LUNA_AN","MON","TUE","WED","THU","FRI","SAT","SUN"
"2020-01",712.48,587.33,554.92,634.94,769.93,862.36,831.46
"2020-02",700,568.87,543.76,630.94,749.81,855.03,818.47
"2020-03",664.94,544.91,524.93,593.73,725,812.39,794.94
"2020-04",643.8,512.52,495.06,570.04,712.58,787.56,737.58
"2020-05",618.73,493.89,468.71,556.22,655.22,745.22,705.19
"2020-06",585.05,480.06,456.23,525,637.6,737.88,681.22
"2020-07",575,481.06,444.85,525.22,634.9,712.44,693.66
"2020-08",614.44,487.28,468.61,537.32,656.23,744.92,709.51
"2020-09",637.48,519.95,489.9,581.2,700,774.78,756.28
"2020-10",656.33,556.33,518.74,605.06,730.18,815.1,787.53
"2020-11",700.03,556.4,525,625,775.33,869.05,830
"2020-12",706.14,580.27,560.06,639.94,781.23,856.57,824.87
"2021-01",699.85,581.39,537.62,625.24,780.26,884.9,844.62
"2021-02",693.63,556.35,550,631.14,775.13,849.79,818.82
"2021-03",664.85,544.97,510.05,600,737.37,818.66,787.55
"2021-04",637.56,512.53,500,580.08,705.06,781.27,743.78
"2021-05",600.15,506.26,468.93,550,650.05,745.1,720.23
"2021-06",581.2,490.19,455.02,531.63,650.09,725,693.63
"2021-07",574.8,487.6,456.09,524.72,649.78,735,706.41
"2021-08",589.95,494.86,468.79,543.74,662.19,756.24,705.02
"2021-09",631.18,512.44,495.07,564.9,687.42,768.7,731.09
"2021-10",675.07,543.81,506.27,593.71,735.15,804.97,785.08
"2021-11",700.5,565.38,543.89,625,775,856.25,831.45
"2021-12",700,587.65,555.02,639.89,794.93,887.65,856.18
"2022-01",710.23,581.33,537.27,643.94,774.73,864.86,854.65
"2022-02",706.15,575.05,543.66,618.55,781.36,843.62,812.5
"2022-03",668.73,559.89,514.96,599.96,718.75,812.44,781.29
"2022-04",631.3,512.49,481.29,556.42,695.04,785.24,756.28
"2022-05",610.09,500,462.55,543.63,662.51,731.35,720.12
"2022-06",587.25,487.38,454.84,539.48,637.72,719.32,681.13
"2022-07",594.15,487.3,456.22,512.6,645.18,724.84,689.82
"2022-08",609.45,489.82,459.87,537.36,662.51,762.4,712.09
"2022-09",631.2,512.41,481.21,585.04,704.9,781.04,743.72
"2022-10",660,550,518.78,593.83,725.03,814.99,800.23
"2022-11",706.23,565.25,535.16,618.86,768.96,856.12,831.4
"2022-12",712.37,587.78,550.1,645.33,800.23,870.43,837.27
"2023-01",720.15,564.73,556.11,637.7,781.32,875.06,844.85
"2023-02",693.64,574.97,537.41,618.65,768.65,849.95,831.26
"2023-03",668.7,549.9,519.93,605.04,724.84,818.71,775.02
"2023-04",637.64,518.72,487.56,556.27,706.31,790.09,739.96
"2023-05",615.34,495.11,465.21,550,662.86,749.89,725.11
"2023-06",575.05,475.07,456.28,505.18,660.92,712.96,693.7
"2023-07",595.05,481.12,449.83,525.3,650.08,724.54,695.04
"2023-08",600,484.81,469.82,544.96,656.13,737.29,706.29
"2023-09",637.41,524.97,493.67,562.48,694.92,779.86,762.47
"2023-10",670.1,549.87,518.68,593.78,731.32,812.57,780.04
"2023-11",700,556.19,535.12,630.12,756.29,837.58,825
"2023-12",712.3,581.43,550,637.34,789.89,870.39,830.46
"2024-01",719.71,589.86,539.77,637.5,793.89,862.12,843.85
"2024-02",687.42,562.47,543.68,614.83,768.49,849.6,812.53
"2024-03",656.15,549.9,512.49,599.98,749.86,819.98,769.94
"2024-04",640.04,514.99,487.42,556.28,693.69,775.14,737.55
"2024-05",600,487.61,475.16,550.09,655.02,743.84,694.01
"2024-06",600.14,475.05,450.12,537.52,643.91,719.68,700
"2024-07",579.54,479.99,449.94,531.08,650,712.63,700.13
"2024-08",606.27,499.77,468.83,539.79,659.79,744.66,712.39
"2024-09",624.95,518.73,474.81,568.82,693.64,774.91,754.82
"2024-10",681.28,534.98,520.08,600,756.26,837.57,793.7
"2024-11",687.4,568.77,537.45,631.34,780.45,844.94,812.66
"2024-12",700.57,585.1,549.9,637.31,781.07,862.42,844.68
